"ID","Faction","Instance_Id","Supercedes","Title_Lang_enUS","Title_Lang_enGB","Title_Lang_koKR","Title_Lang_frFR","Title_Lang_deDE","Title_Lang_enCN","Title_Lang_zhCN","Title_Lang_enTW","Title_Lang_zhTW","Title_Lang_esES","Title_Lang_esMX","Title_Lang_ruRU","Title_Lang_ptPT","Title_Lang_ptBR","Title_Lang_itIT","Title_Lang_Unk","Title_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Category","Points","Ui_Order","Flags","IconID","Reward_Lang_enUS","Reward_Lang_enGB","Reward_Lang_koKR","Reward_Lang_frFR","Reward_Lang_deDE","Reward_Lang_enCN","Reward_Lang_zhCN","Reward_Lang_enTW","Reward_Lang_zhTW","Reward_Lang_esES","Reward_Lang_esMX","Reward_Lang_ruRU","Reward_Lang_ptPT","Reward_Lang_ptBR","Reward_Lang_itIT","Reward_Lang_Unk","Reward_Lang_Mask","Minimum_Criteria","Shares_Criteria"
"6","-1","-1","0","Level 10","10 레벨","Niveau 10","Stufe 10","10级","10級","Nivel 10","Nivel 10","10-й уровень","","","","","","","","16712190","Reach level 10.","10 레벨 달성","Atteindre le niveau 10.","Erreicht Stufe 10.","升到10级。","達到10級。","Alcanza el nivel 10.","Alcanza el nivel 10.","Достигните 10-го уровня.","","","","","","","","16712190","92","10","1","4","3268","","","","","","","","","","","","","","","","","16712174","0","0"
"33","1","-1","0","Nothing Boring About Borean","북풍의 땅이 지루하다고?","Ma tendre toundra","Rauf und runter in der Tundra","这个苔原不太远","凍原一點都不冷","La Tundra no tiene nada de aburrida","La Tundra no tiene nada de aburrida","Борьба в Борейщине","","","","","","","","16712190","Complete 130 quests in Borean Tundra.","북풍의 땅 퀘스트 130개 완료","Achever 130 quêtes dans la toundra Boréenne.","Schließt 130 Quests der boreanischen Tundra ab.","在北风苔原完成130个任务。","在北風凍原完成130個任務。","Completa 130 misiones en la Tundra Boreal.","Completa 130 misiones en la Tundra Boreal.","Выполните 130 заданий в Борейской тундре.","","","","","","","","16712190","14863","10","1","136","3336","","","","","","","","","","","","","","","","","16712174","0","0"
"42","-1","-1","0","Explore Eastern Kingdoms","동부 왕국 탐험","Exploration des Royaumes de l'est","Erforscht die östlichen Königreiche","探索东部王国","探索東部王國","Explora los Reinos del Este","Explora los Reinos del Este","Восточные королевства","","","","","","","","16712190","Explore the regions of Eastern Kingdoms.","동부 왕국 지역 탐험","Explorer les régions des Royaumes de l'est.","Erforscht die Regionen der östlichen Königreiche.","探索东部王国的各个区域。","探索東部王國所有區域。","Explora las regiones de los Reinos del Este.","Explora las regiones de los Reinos del Este.","Исследуйте все местности Восточных королевств.","","","","","","","","16712190","97","25","1","0","3490","","","","","","","","","","","","","","","","","16712174","0","0"
"57","-1","30","0","Deaths in Alterac Valley","알터랙 계곡에서 죽은 횟수","Morts dans la Vallée d'Alterac","Tode im Alteractal","在奥特兰克山谷中死亡","奧特蘭克山谷中的死亡次數","Muertes en el Valle de Alterac","Muertes en el Valle de Alterac","Смерти в Альтеракской долине","","","","","","","","16712190","Deaths in Alterac Valley","알터랙 계곡에서 죽은 횟수","Morts dans la Vallée d'Alterac","Tode im Alteractal","在奥特兰克山谷中死亡","奧特蘭克山谷中的死亡次數","Muertes en el Valle de Alterac","Muertes en el Valle de Alterac","Смерти в Альтеракской долине","","","","","","","","16712190","124","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"60","-1","-1","0","Total deaths","전체 죽은 횟수","Nombre total de morts","Tode insgesamt","死亡的总次数","死亡總次數","Muertes propias","Muertes propias","Всего смертей","","","","","","","","16712190","Total deaths","전체 죽은 횟수","Nombre total de morts","Tode insgesamt","死亡的总次数","死亡總數","Muertes propias","Muertes propias","Всего смертей","","","","","","","","16712190","122","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"98","-1","-1","0","Quests completed","퀘스트 완료","Quêtes achevées","Quests abgeschlossen","完成任务","任務完成數","Misiones completadas","Misiones completadas","Выполнено заданий","","","","","","","","16712190","Quests completed","퀘스트 완료","Quêtes achevées","Quests abgeschlossen","完成任务","任務完成數","Misiones completadas","Misiones completadas","Выполнено заданий","","","","","","","","16712190","133","0","1","9","0","","","","","","","","","","","","","","","","","16712174","0","0"
"107","-1","-1","0","Creatures killed","처치한 몬스터","Créatures tuées","Kreaturen getötet","杀死怪物","曾擊殺的生物","Criaturas muertas","Criaturas muertas","Убито существ","","","","","","","","16712190","Creatures killed","처치한 몬스터","Créatures tuées","Kreaturen getötet","杀死怪物","曾擊殺的生物數","Criaturas muertas","Criaturas muertas","Убито существ","","","","","","","","16712190","135","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"112","-1","-1","0","Deaths from drowning","익사 횟수","Morts par noyade","Tode durch Ertrinken","淹死","溺水致死次數","Muertes por ahogamiento","Muertes por ahogamiento","Смерти от утопления","","","","","","","","16712190","Deaths from drowning","익사 횟수","Morts par noyade","Tode durch Ertrinken","淹死","溺水致死次數","Muertes por ahogamiento","Muertes por ahogamiento","Смерти от утопления","","","","","","","","16712190","126","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"116","-1","-1","0","Professional Journeyman","전문 기술 수습 등급","Compagnon de métier","Gesellenprüfung","中级专业水准","專業中級職人","Oficial profesional","Oficial profesional","Подмастерье","","","","","","","","16712190","Become a Journeyman in a profession.","전문 기술 수습 등급 달성","Devenir un compagnon dans un métier.","Werdet Geselle in einem Beruf.","在一种专业中达到中级水准。","習得一種中級專業技能。","Conviértete en oficial de una profesión.","Conviértete en oficial de una profesión.","Станьте подмастерьем в любой профессии.","","","","","","","","16712190","169","10","1","0","2846","","","","","","","","","","","","","","","","","16712174","1","0"
"121","-1","-1","0","Journeyman Cook","수습 요리사","Compagnon cuisinier","Kochgeselle","中级烹饪","中級廚師","Oficial cocinero","Oficial cocinero","Повар-подмастерье","","","","","","","","16712190","Become a Journeyman Cook.","수습 요리사 되기","Devenir un compagnon cuisinier.","Werdet Kochgeselle.","成为一名中级厨师。","習得中級烹飪技能。","Conviértete en oficial cocinero.","Conviértete en oficial cocinero.","Станьте поваром-подмастерьем.","","","","","","","","16712190","170","10","1","0","1467","","","","","","","","","","","","","","","","","16712174","0","0"
